ticker,company,year,section,file_path,char_count,source_htm
UPST,Upstart Holdings,2022,7,data/processed/UPST_2022_7.txt,15000,data/raw/sec-edgar-filings/UPST/10-K/0001647639-22-000009/full-submission.txt
UPST,Upstart Holdings,2022,7A,data/processed/UPST_2022_7A.txt,15000,data/raw/sec-edgar-filings/UPST/10-K/0001647639-22-000009/full-submission.txt
UPST,Upstart Holdings,2023,1A,data/processed/UPST_2023_1A.txt,15000,data/raw/sec-edgar-filings/UPST/10-K/0001647639-23-000021/full-submission.txt
UPST,Upstart Holdings,2023,7,data/processed/UPST_2023_7.txt,15000,data/raw/sec-edgar-filings/UPST/10-K/0001647639-23-000021/full-submission.txt
UPST,Upstart Holdings,2023,7A,data/processed/UPST_2023_7A.txt,15000,data/raw/sec-edgar-filings/UPST/10-K/0001647639-23-000021/full-submission.txt
UPST,Upstart Holdings,2024,1A,data/processed/UPST_2024_1A.txt,15000,data/raw/sec-edgar-filings/UPST/10-K/0001647639-24-000009/full-submission.txt
UPST,Upstart Holdings,2024,7,data/processed/UPST_2024_7.txt,15000,data/raw/sec-edgar-filings/UPST/10-K/0001647639-24-000009/full-submission.txt
UPST,Upstart Holdings,2024,7A,data/processed/UPST_2024_7A.txt,15000,data/raw/sec-edgar-filings/UPST/10-K/0001647639-24-000009/full-submission.txt
ALLY,Ally Financial,2025,1A,data/processed/ALLY_2025_1A.txt,15000,data/raw/sec-edgar-filings/ALLY/10-K/0000040729-25-000006/full-submission.txt
ALLY,Ally Financial,2025,7,data/processed/ALLY_2025_7.txt,15000,data/raw/sec-edgar-filings/ALLY/10-K/0000040729-25-000006/full-submission.txt
ALLY,Ally Financial,2025,7A,data/processed/ALLY_2025_7A.txt,15000,data/raw/sec-edgar-filings/ALLY/10-K/0000040729-25-000006/full-submission.txt
ALLY,Ally Financial,2024,1A,data/processed/ALLY_2024_1A.txt,15000,data/raw/sec-edgar-filings/ALLY/10-K/0000040729-24-000004/full-submission.txt
ALLY,Ally Financial,2024,7,data/processed/ALLY_2024_7.txt,15000,data/raw/sec-edgar-filings/ALLY/10-K/0000040729-24-000004/full-submission.txt
ALLY,Ally Financial,2024,7A,data/processed/ALLY_2024_7A.txt,15000,data/raw/sec-edgar-filings/ALLY/10-K/0000040729-24-000004/full-submission.txt
ALLY,Ally Financial,2023,1A,data/processed/ALLY_2023_1A.txt,15000,data/raw/sec-edgar-filings/ALLY/10-K/0000040729-23-000005/full-submission.txt
ALLY,Ally Financial,2023,7,data/processed/ALLY_2023_7.txt,15000,data/raw/sec-edgar-filings/ALLY/10-K/0000040729-23-000005/full-submission.txt
